"DATUM_ID","KALENDER_ID","DATUM","WOCHENTAG","TYP","TEXT","DA_T_ERSTELLT_AM","DA_T_GEAENDERT_AM"
"20240401","A","2024-04-01","Montag","HF","Ostermontag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20240520","A","2024-05-20","Montag","HF","Pfingstmontag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20240815","A","2024-08-15","Donnerstag","HF","Mariä Himmelfahrt","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20130815","A","2013-08-15","Donnerstag","HF","Mariä Himmelfahrt","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20131225","A","2013-12-25","Mittwoch","HF","Christtag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20140101","A","2014-01-01","Mittwoch","HF","Neujahr","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20140418","A","2014-04-18","Freitag","A","Karfreitag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20140421","A","2014-04-21","Montag","HF","Ostermontag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20140609","A","2014-06-09","Montag","HF","Pfingstmontag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20140815","A","2014-08-15","Freitag","HF","Mariä Himmelfahrt","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20141225","A","2014-12-25","Donnerstag","HF","Christtag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20150101","A","2015-01-01","Donnerstag","HF","Neujahr","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20150403","A","2015-04-03","Freitag","A","Karfreitag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20150815","A","2015-08-15","Samstag","HF","Mariä Himmelfahrt","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20151225","A","2015-12-25","Freitag","HF","Christtag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20160106","A","2016-01-06","Mittwoch","HF","Heilige Drei Könige","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20160328","A","2016-03-28","Montag","HF","Ostermontag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20160501","A","2016-05-01","Sonntag","HF","Maifeiertag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20160505","A","2016-05-05","Donnerstag","HF","Christi Himmelfahrt","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20160516","A","2016-05-16","Montag","HF","Pfingstmontag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20161026","A","2016-10-26","Mittwoch","HF","Nationalfeiertag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20161101","A","2016-11-01","Dienstag","HF","Allerheiligen","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20161208","A","2016-12-08","Donnerstag","HF","Mariä Empfängnis","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20161224","A","2016-12-24","Samstag","A","Heiliger Abend","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20161226","A","2016-12-26","Montag","HF","Stefanitag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20161231","A","2016-12-31","Samstag","A","Silvester","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20170106","A","2017-01-06","Freitag","HF","Heilige Drei Könige","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20170417","A","2017-04-17","Montag","HF","Ostermontag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20170501","A","2017-05-01","Montag","HF","Maifeiertag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20170525","A","2017-05-25","Donnerstag","HF","Christi Himmelfahrt","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20170615","A","2017-06-15","Donnerstag","HF","Fronleichnam","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20171026","A","2017-10-26","Donnerstag","HF","Nationalfeiertag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20171101","A","2017-11-01","Mittwoch","HF","Allerheiligen","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
